2020-10-03 16:40:00 - Search For Tags:['CM', 'CRM', 'Software', 'Cardigan']
2020-10-03 16:48:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 16:52:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 16:55:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 16:59:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 17:03:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 17:06:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 17:10:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 17:14:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 17:17:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 17:21:00 - Search For Tags:['CM', 'CRM', 'ERP']
2020-10-03 17:26:00 - Search For Tags:['CM', 'CRM', 'ERP']
